id,web_name,club,pos,price,own
139,Ferguson,BHA,FWD,5.0,0.0
328,Struijk,BHA,DEF,5.0,0.5
504,Vuskovic,BHA,DEF,5.0,3.0
40,Rogers,CHE,MID,7.5,30.7
136,Welbeck,CHE,FWD,6.0,2.8
140,Sánchez,CHE,GKP,5.0,2.0
141,Jörgensen,CHE,GKP,5.0,0.1
142,James,CHE,DEF,5.5,8.0
143,Chalobah,CHE,DEF,5.5,2.0
144,Gusto,CHE,DEF,5.0,1.2
145,Fofana,CHE,DEF,5.0,0.0
146,B.Badiashile,CHE,DEF,4.5,0.0
147,Tosin,CHE,DEF,4.5,0.1
148,Hato,CHE,DEF,4.5,1.2
149,Colwill,CHE,DEF,5.0,1.9
150,M.Sarr,CHE,DEF,4.5,0.1
151,Acheampong,CHE,DEF,4.5,0.2
152,Palestra,CHE,DEF,5.5,1.5
153,Disasi,CHE,DEF,4.5,0.1
154,Palmer,CHE,MID,9.5,12.7
155,Enzo,CHE,MID,7.0,5.4
156,Neto,CHE,MID,6.5,1.3
157,Estêvão,CHE,MID,6.5,1.7
158,Gittens,CHE,MID,6.0,0.1
159,Caicedo,CHE,MID,5.5,3.7
161,Lavia,CHE,MID,5.0,0.0
163,D.Essugo,CHE,MID,4.5,0.2
164,Quenda,CHE,MID,5.5,0.0
165,João Pedro,CHE,FWD,7.5,54.7
166,N.Jackson,CHE,FWD,6.5,0.4
167,Delap,CHE,FWD,5.5,0.5
168,Marc Guiu,CHE,FWD,5.0,0.4
169,Mheuka,CHE,FWD,4.5,0.4
170,Emegha,CHE,FWD,5.0,0.2
200,Lacroix,CHE,DEF,6.0,12.0
560,Penders,CHE,GKP,4.5,0.1
561,Anselmino,CHE,DEF,4.5,0.0
104,Onyeka,COV,MID,5.0,0.2
171,Dovin,COV,GKP,4.0,3.0
172,Wilson,COV,GKP,4.5,0.7
173,Thomas,COV,DEF,4.0,8.7
174,Kitching,COV,DEF,4.0,0.4
175,van Ewijk,COV,DEF,4.0,16.7
176,Dasilva,COV,DEF,4.0,0.4
177,Kesler-Hayden,COV,DEF,4.0,0.1
178,Bidwell,COV,DEF,4.0,0.1
179,Latibeaudiere,COV,DEF,4.0,0.1
180,Woolfenden,COV,DEF,4.0,0.3
181,Brau,COV,DEF,4.0,0.1
182,Amenda,COV,DEF,4.0,0.5
183,Rudoni,COV,MID,5.0,0.3
184,Grimes,COV,MID,5.0,0.2
185,Sakamoto,COV,MID,5.0,0.1
186,Mason-Clark,COV,MID,5.5,0.3
187,Eccles,COV,MID,5.0,0.0
188,Torp,COV,MID,5.5,0.2
189,Shepherd,COV,MID,4.5,0.3
190,Tchaouna,COV,MID,5.5,0.1
191,Borges Rodrigues,COV,MID,4.5,0.2
192,Andrews,COV,MID,4.5,0.7
193,Wright,COV,FWD,5.5,1.8
194,Thomas-Asante,COV,FWD,5.0,0.9
195,Simms,COV,FWD,5.0,0.6
196,Markelo,COV,FWD,5.0,0.1
197,Bassette,COV,FWD,4.5,0.6
198,Henderson,CRY,GKP,5.0,3.1
199,Benitez,CRY,GKP,4.5,0.1
201,Muñoz,CRY,DEF,5.5,11.9
202,Richards,CRY,DEF,5.0,0.8
203,Canvot,CRY,DEF,5.0,0.6
204,Mitchell,CRY,DEF,4.5,7.0
205,Sosa,CRY,DEF,4.5,0.0
206,Chadi Riad,CRY,DEF,4.5,0.1
207,Mingueza,CRY,DEF,4.5,0.1
208,Sarr,CRY,MID,6.5,9.9
209,Johnson,CRY,MID,6.0,0.2
210,Wharton,CRY,MID,5.5,0.2
211,Yeremy,CRY,MID,5.5,0.2
212,Hughes,CRY,MID,4.5,11.1
213,Lerma,CRY,MID,5.0,0.1
214,Kamada,CRY,MID,5.0,0.3
215,Devenny,CRY,MID,5.0,0.0
216,Esse,CRY,MID,5.0,0.1
217,M.França,CRY,MID,5.0,0.0
218,Doucouré,CRY,MID,5.0,0.1
219,J.Rak-Sakyi,CRY,MID,5.0,0.0
220,Cardines,CRY,DEF,4.5,0.0
221,Drakes-Thomas,CRY,MID,4.5,0.1
222,Strand Larsen,CRY,FWD,6.0,0.6
223,Mateta,CRY,FWD,6.5,7.0
224,Nketiah,CRY,FWD,5.5,0.4
225,Uche,CRY,FWD,5.0,0.0
555,Matthews,CRY,GKP,4.0,1.7
226,Pickford,EVE,GKP,5.5,9.0
227,Travers,EVE,GKP,5.0,0.1
228,King,EVE,GKP,4.5,0.1
229,Tarkowski,EVE,DEF,6.0,9.9
230,Branthwaite,EVE,DEF,5.5,1.9
231,Keane,EVE,DEF,5.0,1.5
232,O'Brien,EVE,DEF,5.0,0.5
233,Mykolenko,EVE,DEF,4.5,1.4
234,Patterson,EVE,DEF,4.5,0.0
235,Aznou,EVE,DEF,4.0,0.2
236,Dewsbury-Hall,EVE,MID,6.5,4.0
237,Ndiaye,EVE,MID,6.0,17.0
239,Garner,EVE,MID,6.0,0.8
240,Iroegbunam,EVE,MID,5.0,0.1
241,McNeil,EVE,MID,5.5,0.1
242,George,EVE,MID,5.5,0.1
243,Alcaraz,EVE,MID,5.0,0.1
244,Armstrong,EVE,MID,5.0,0.1
245,Dibling,EVE,MID,5.5,0.1
246,Röhl,EVE,MID,5.0,0.1
247,Hackney,EVE,MID,5.5,0.3
248,Beto,EVE,FWD,5.5,3.3
249,Barry,EVE,FWD,5.5,0.9
250,Leno,FUL,GKP,4.5,3.1
251,Lecomte,FUL,GKP,4.0,1.5
252,McNally,FUL,GKP,4.0,0.3
253,Andersen,FUL,DEF,5.0,0.1
254,Robinson,FUL,DEF,4.5,2.9
255,J.Cuenca,FUL,DEF,4.5,0.0
256,Tete,FUL,DEF,4.5,0.2
257,Bassey,FUL,DEF,4.5,0.5
258,Castagne,FUL,DEF,4.5,0.2
261,Iwobi,FUL,MID,5.5,0.9
262,Smith Rowe,FUL,MID,5.5,0.4
263,Kevin,FUL,MID,5.5,0.1
264,Bobb,FUL,MID,5.5,0.4
265,Berge,FUL,MID,5.0,0.4
266,Cairney,FUL,MID,5.0,0.0
267,Lukić,FUL,MID,5.0,0.1
268,King,FUL,MID,5.5,0.1
269,Sessegnon,FUL,DEF,4.5,0.4
270,Reed,FUL,MID,4.5,1.1
271,Muniz,FUL,FWD,5.5,0.7
272,Kusi-Asare,FUL,FWD,4.5,8.3
273,Phillips,HUL,GKP,4.0,2.1
274,Butland,HUL,GKP,4.5,1.0
275,Cartwright,HUL,GKP,4.0,0.1
276,Lo-Tutala,HUL,GKP,4.0,0.2
277,Egan,HUL,DEF,4.0,0.8
278,Hughes,HUL,DEF,4.0,1.5
279,Ajayi,HUL,DEF,4.0,0.6
280,Coyle,HUL,DEF,4.0,0.3
281,Drameh,HUL,DEF,4.0,0.1
282,Giles,HUL,DEF,4.0,0.6
283,Jacob,HUL,DEF,4.0,0.1
284,McCarthy,HUL,DEF,4.0,0.1
285,McNair,HUL,DEF,4.0,0.1
286,Belloumi,HUL,MID,5.0,0.6
287,Millar,HUL,MID,5.0,0.1
288,Dowell,HUL,MID,4.5,0.5
289,Crooks,HUL,MID,4.5,0.6
290,Slater,HUL,MID,4.5,1.8
291,Matazo,HUL,MID,4.5,0.0
292,Ömür,HUL,MID,5.0,0.0
293,Kamara,HUL,MID,5.0,0.1
294,Zambrano,HUL,MID,4.5,0.6
295,McBurnie,HUL,FWD,5.5,1.9
296,Akintola,HUL,MID,5.0,0.0
297,Gyabi,HUL,MID,4.5,0.2
298,Destan,HUL,FWD,4.5,2.6
299,Burstow,HUL,FWD,4.5,1.0
556,Targett,HUL,DEF,4.0,2.4
563,Morita,HUL,MID,5.0,0.1
259,Diop,IPS,DEF,4.0,20.0
300,Walton,IPS,GKP,4.5,0.6
301,Palmer,IPS,GKP,4.0,5.8
302,Button,IPS,GKP,4.0,0.6
303,Kipré,IPS,DEF,4.0,0.3
304,O'Shea,IPS,DEF,4.0,1.3
305,Davis,IPS,DEF,4.0,3.5
306,Greaves,IPS,DEF,4.0,0.5
307,Johnson,IPS,DEF,4.0,0.1
308,Furlong,IPS,DEF,4.0,0.3
309,Núñez,IPS,MID,5.0,0.2
310,Matusiwa,IPS,MID,5.0,0.1
311,Burns,IPS,MID,5.0,0.1
312,Taylor,IPS,MID,4.5,0.3
313,Clarke,IPS,MID,5.5,0.3
314,Ogbene,IPS,MID,5.0,0.0
315,Fatawu,IPS,MID,5.5,0.3
316,Emersonn,IPS,FWD,5.5,0.3
317,Hirst,IPS,FWD,5.0,0.5
318,Philogene,IPS,MID,5.5,0.2
319,Szmodics,IPS,MID,5.0,0.1
320,Akpom,IPS,FWD,5.0,0.5
321,Walle Egeli,IPS,FWD,4.5,2.3
322,Al-Hamadi,IPS,FWD,5.0,0.2
323,McAteer,IPS,MID,4.5,1.7
324,Mehmeti,IPS,MID,5.0,0.1
554,Van Oevelen,IPS,GKP,4.5,0.1
562,Maeda,IPS,MID,5.5,0.4
564,Scherpen,IPS,GKP,4.5,0.2
260,Wilson,LEE,MID,6.5,8.6
326,Perri,LEE,GKP,4.5,0.7
327,Bijol,LEE,DEF,5.0,0.3
329,Rodon,LEE,DEF,4.5,1.8
330,Bogle,LEE,DEF,4.5,0.4
331,Gudmundsson,LEE,DEF,4.5,0.5
332,Justin,LEE,DEF,4.5,0.5
333,Bornauw,LEE,DEF,4.5,0.0
